Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Orlando,Weekly,"2021-01-10 00:00:00",Conventional,0.790000000,668377.34,283762.09,16214.77,140.36,219436.81,128758.71,86470.32,4207.78,148823.31
Orlando,Weekly,"2021-01-04 00:00:00",Conventional,0.730000000,660310.10,271603.67,22451.46,114.11,205309.02,118495.82,76890.42,9922.78,160831.84
Philadelphia,Weekly,"2021-01-24 00:00:00",Conventional,0.890000000,868474.69,153023.31,290714.51,382.04,295139.72,206248.42,80997.97,7893.33,129215.11
Philadelphia,Weekly,"2021-01-17 00:00:00",Conventional,0.950000000,759600.59,144272.87,271383.16,368.79,287020.68,202801.25,74866.10,9353.33,56555.09
Philadelphia,Weekly,"2021-01-10 00:00:00",Conventional,0.930000000,732797.33,139311.94,266107.08,222.32,264965.70,183070.66,74871.71,7023.33,62190.29
Philadelphia,Weekly,"2021-01-04 00:00:00",Conventional,0.810000000,771491.25,132283.15,229810.82,242.52,351722.25,154753.58,190092.00,6876.67,57432.51
Phoenix/Tucson,Weekly,"2021-01-24 00:00:00",Conventional,0.690000000,1467400.05,303386.43,297148.41,4005.63,188052.48,161426.93,26622.22,3.33,674807.10
Phoenix/Tucson,Weekly,"2021-01-17 00:00:00",Conventional,0.650000000,1366784.95,572171.09,159494.57,4811.72,211035.88,181812.41,29203.47,20.00,419271.69
Phoenix/Tucson,Weekly,"2021-01-10 00:00:00",Conventional,0.660000000,1497271.23,480326.67,193240.48,4530.27,202660.00,179645.01,22941.66,73.33,616513.81
Phoenix/Tucson,Weekly,"2021-01-04 00:00:00",Conventional,0.530000000,1796082.85,496606.43,274121.53,5186.77,153432.73,141578.43,11790.97,63.33,866735.39
Pittsburgh,Weekly,"2021-01-24 00:00:00",Conventional,1.090000000,140769.97,37981.30,13294.80,3.37,51155.27,49667.50,494.44,993.33,38335.23
